patient_id,s1,s2,shared,unique_s1,unique_s2,jaccard
Patient14,Treg,CD4_Memory,30,905,149,0.0277
Patient14,Treg,Other,140,795,309,0.1125
Patient14,CD4_Memory,Other,20,159,429,0.0329
Patient12,Treg,CD4_Memory,31,220,75,0.0951
Patient12,Treg,Other,51,200,66,0.1609
Patient12,CD4_Memory,Other,20,86,97,0.0985
Patient10,Treg,CD4_Memory,23,162,153,0.068
Patient8,Treg,CD4_Memory,94,426,999,0.0619
Patient8,Treg,Other,77,443,420,0.0819
Patient8,CD4_Memory,Other,60,1033,437,0.0392
Patient6,Treg,CD4_Memory,79,700,386,0.0678
Patient6,Treg,Other,223,556,194,0.2292
Patient6,CD4_Memory,Other,53,412,364,0.0639
Patient5,Treg,CD4_Memory,280,844,473,0.1753
Patient5,Treg,Other,390,734,276,0.2786
Patient5,CD4_Memory,Other,253,500,413,0.217
Patient4,Treg,CD4_Memory,39,575,416,0.0379
Patient4,Treg,Other,108,506,169,0.1379
Patient4,CD4_Memory,Other,29,426,248,0.0413
Patient3,Treg,CD4_Memory,251,1887,407,0.0986
Patient3,Treg,Other,297,1841,953,0.0961
Patient3,CD4_Memory,Other,121,537,1129,0.0677
Patient31,Treg,Other,557,836,924,0.2404
Patient30,Treg,CD4_Memory,127,2984,63,0.04
Patient30,Treg,Other,377,2734,1576,0.0804
Patient30,CD4_Memory,Other,84,106,1869,0.0408
Patient29,Treg,CD4_Memory,168,872,152,0.1409
Patient29,Treg,Other,297,743,193,0.2409
Patient29,CD4_Memory,Other,110,210,380,0.1571
Patient28,Treg,CD4_Memory,194,1582,139,0.1013
Patient28,Treg,Other,310,1466,1251,0.1024
Patient28,CD4_Memory,Other,153,180,1408,0.0879
Patient27,Treg,CD4_Memory,10,474,118,0.0166
Patient27,Treg,Other,66,418,470,0.0692
Patient27,CD4_Memory,Other,12,116,524,0.0184
Patient26,Treg,CD4_Memory,8,180,129,0.0252
Patient26,Treg,Other,90,98,147,0.2687
Patient26,CD4_Memory,Other,9,128,228,0.0247
Patient21,Treg,CD4_Memory,75,1095,1203,0.0316
Patient21,Treg,Other,92,1078,719,0.0487
Patient21,CD4_Memory,Other,57,1221,754,0.0281
Patient19,Treg,CD4_Memory,87,1176,231,0.0582
Patient19,Treg,Other,147,1116,1217,0.0593
Patient19,CD4_Memory,Other,54,264,1310,0.0332
Patient18,Treg,CD4_Memory,45,191,142,0.119
Patient18,Treg,Other,30,206,415,0.0461
Patient18,CD4_Memory,Other,17,170,428,0.0276
Patient16,Treg,CD4_Memory,49,801,484,0.0367
Patient16,Treg,Other,45,805,1006,0.0242
Patient16,CD4_Memory,Other,29,504,1022,0.0186
Patient15,Treg,CD4_Memory,120,1386,1212,0.0442
Patient15,Treg,Other,78,1428,522,0.0385
Patient15,CD4_Memory,Other,112,1220,488,0.0615
Patient9,Treg,Other,19,196,229,0.0428
Patient67,Treg,CD4_Memory,8827,123039,91938,0.0394
Patient67,Treg,Other,29998,101868,92401,0.1338
Patient67,CD4_Memory,Other,16218,84547,106181,0.0784
Patient69,Treg,CD4_Memory,12490,60266,91845,0.0759
Patient69,Treg,Other,27542,45214,98969,0.1604
Patient69,CD4_Memory,Other,29043,75292,97468,0.1439
Patient71,Treg,CD4_Memory,1283,27149,20408,0.0263
Patient71,Treg,Other,4244,24188,17777,0.0918
Patient71,CD4_Memory,Other,2302,19389,19719,0.0556
Patient2,Treg,Other,115,433,510,0.1087
Patient1,Treg,Other,244,2160,1531,0.062
Patient17,Treg,CD4_Memory,28,300,896,0.0229
Patient17,Treg,Other,67,261,1286,0.0415
Patient17,CD4_Memory,Other,115,809,1238,0.0532
Patient13,Treg,Other,7,105,136,0.0282
Patient62,Treg,CD4_Memory,5238,42013,10060,0.0914
Patient62,Treg,Other,17503,29748,21154,0.2559
Patient62,CD4_Memory,Other,5712,9586,32945,0.1184
Patient64,Treg,CD4_Memory,687,19818,14766,0.0195
Patient64,Treg,Other,2426,18079,16342,0.0658
Patient64,CD4_Memory,Other,2030,13423,16738,0.0631
Patient35,Treg,CD4_Memory,82,968,149,0.0684
Patient35,Treg,Other,225,825,420,0.1531
Patient35,CD4_Memory,Other,64,167,581,0.0788
Patient34,Treg,CD4_Memory,74,3220,151,0.0215
Patient34,Treg,Other,323,2971,2336,0.0574
Patient34,CD4_Memory,Other,59,166,2600,0.0209
Patient33,Treg,Other,280,311,458,0.2669
Patient32,Treg,Other,345,415,796,0.2217
