V,p,Treg,CD4_Memory,Other
TRBV12-3,0.1201,71.91,58.11,66.11
TRBV5-6,0.22414,0.41,2.73,0.44
TRBV11-2,0.65678,0.34,1.29,0.41
TRBV5-1,0.7458,3.52,5.79,5.0
TRBV7-2,0.77946,1.33,2.73,1.96
TRBV4-3,0.86317,0.23,0.73,0.39
TRBV20-1,0.87729,3.35,4.16,4.78
TRBV28,0.88771,0.65,1.18,0.64
TRBV6-2,0.90858,0.5,1.01,0.65
TRBV18,0.92436,0.24,0.6,0.39
TRBV11-3,0.93537,0.16,0.43,0.25
TRBV12-4,0.94513,0.66,1.08,0.8
TRBV5-5,0.94953,0.27,0.55,0.36
TRBV29-1,0.95236,1.2,1.64,1.69
TRBV7-3,0.95766,0.64,1.01,0.85
TRBV27,0.95862,0.62,0.76,0.44
TRBV4-2,0.96378,0.59,0.91,0.7
TRBV10-3,0.96801,0.49,0.77,0.57
TRBV4-1,0.96869,1.43,1.7,1.27
TRBV5-4,0.97315,0.16,0.3,0.19
TRBV25-1,0.97382,0.21,0.18,0.33
TRBV7-9,0.98046,1.5,1.67,1.33
TRBV7-8,0.98301,0.42,0.6,0.49
TRBV3-1,0.98757,0.39,0.53,0.5
TRBV7-7,0.98797,0.09,0.16,0.11
TRBV6-5,0.98998,1.98,1.97,2.22
TRBV6-6,0.99125,0.51,0.62,0.65
TRBV15,0.99229,0.45,0.45,0.56
TRBV30,0.99237,0.17,0.22,0.25
TRBV6-1,0.9924,0.91,1.09,1.0
TRBV13,0.99394,0.11,0.1,0.07
TRBV14,0.99397,0.05,0.09,0.07
TRBV11-1,0.99537,0.05,0.08,0.07
TRBV2,0.99582,0.42,0.49,0.5
TRBV12-2,0.99675,0.01,0.02,0.01
TRBV12-5,0.99701,1.36,1.37,1.25
TRBV24-1,0.99739,0.53,0.6,0.53
TRBV9,0.99747,1.15,1.22,1.12
TRBV5-8,0.99777,0.02,0.03,0.03
TRBV7-6,0.99816,0.4,0.42,0.45
TRBV6-4,0.99829,0.08,0.06,0.07
TRBV6-9,0.9984,0.0,0.01,0.0
TRBV16,0.99884,0.01,0.0,0.01
TRBV10-2,0.99885,0.15,0.16,0.13
TRBV12-1,0.99888,0.0,0.0,0.0
TRBV7-5,0.99902,0.0,0.0,0.0
TRBV23-1,0.99918,0.0,0.0,0.0
TRBV6-3,0.99956,0.0,0.0,0.0
TRBV5-7,0.9996,0.0,0.0,0.0
TRBV7-1,0.99966,0.0,0.0,0.0
TRBV19,0.99979,0.17,0.18,0.17
TRBV3-2,0.9998,0.0,0.0,0.0
TRBV6-8,0.99983,0.0,0.0,0.0
TRBV10-1,0.99987,0.06,0.06,0.07
TRBV7-4,0.9999,0.0,0.0,0.0
TRBV21-1,0.99991,0.09,0.08,0.09
TRBV5-3,0.99993,0.0,0.0,0.0
TRBV1,0.99996,0.0,0.0,0.0
TRBV5-2,0.99997,0.0,0.0,0.0
TRBV22-1,0.99999,0.0,0.0,0.0
TRBV6-7,0.99999,0.01,0.01,0.01
